Nazwa,Ogółem,Gmina,Powiat
Rolnictwo i łowiectwo,70890,30000.0,40890.0
Transport i łączność,928742875,813364963.0,115377912.0
Gospodarka mieszkaniowa,370938455,337154550.0,33783905.0
Działalność usługowa,40100672,26438500.0,13662172.0
Administracja publiczna,66513096,50756265.0,15756831.0
Bezpieczeństwo publiczne i ochrona przeciwpożarowa,76466655,5129000.0,71337655.0
"Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających osobowości prawnej oraz wydatki związane z ich poborem",3103640987,2678073477.0,425567510.0
Różne rozliczenia,1398259361,677719583.0,720539778.0
Oświata i wychowanie,113053906,95755796.0,17298110.0
Ochrona zdrowia,849000,824000.0,25000.0
Pomoc społeczna,122195644,64905904.0,57289740.0
Pozostałe zadania w zakresie polityki społecznej,7329420,2105420.0,5224000.0
Edukacyjna opieka wychowawcza,4229840,5000.0,4224840.0
Rodzina,142851655,141490655.0,1361000.0
Gospodarka komunalna i ochrona środowiska,344719858,344019858.0,700000.0
