Nazwa,Ogółem,Gmina,Powiat
Rolnictwo i łowiectwo,178226.0,126580.0,51646.0
Leśnictwo,2723840.0,2723840.0,0.0
Transport i łączność,1613027800.0,1449675389.0,163352411.0
Turystyka,100000.0,100000.0,0.0
Gospodarka mieszkaniowa,233549887.0,222705387.0,10844500.0
Działalność usługowa,73172826.0,54939207.0,18233619.0
Administracja publiczna,645019556.0,568188988.0,76830568.0
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa",145090.0,145090.0,0.0
Obrona narodowa,603400.0,73000.0,530400.0
Bezpieczeństwo publiczne i ochrona przeciwpożarowa,173909662.0,92977800.0,80931862.0
Wymiar sprawiedliwości,2261392.0,0.0,2261392.0
Obsługa długu publicznego,386330933.0,386330933.0,0.0
Różne rozliczenia,256048957.0,200000.0,208658665.0
Oświata i wychowanie,2434670957.0,1650596707.0,784074250.0
Ochrona zdrowia,61698700.0,58121500.0,3577200.0
Pomoc społeczna,498650419.0,257624256.0,241026163.0
Pozostałe zadania w zakresie polityki społecznej,72853860.0,38440766.0,34413094.0
Edukacyjna opieka wychowawcza,209140883.0,15829650.0,193311233.0
Rodzina,358500686.0,297061286.0,61439400.0
Gospodarka komunalna i ochrona środowiska,854927730.0,854327730.0,600000.0
Kultura i ochrona dziedzictwa narodowego,510475550.0,475498550.0,34977000.0
Ogrody botaniczne i zoologiczne oraz naturalne obszary  i obiekty chronionej przyrody,28534971.0,28534971.0,0.0
Kultura fizyczna ,142415397.0,138663917.0,3751480.0
