Nazwa,Ogółem,Gmina,Powiat
Rolnictwo i łowiectwo,127895.0,93100.0,34795.0
Leśnictwo,2631200.0,2631200.0,0.0
Transport i łączność,1598411001.0,1388908767.0,209502234.0
Gospodarka mieszkaniowa,242176828.0,208053828.0,34123000.0
Działalność usługowa,83202731.0,66115479.0,17087252.0
Administracja publiczna,487487513.0,427040277.0,60447236.0
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa",142691.0,142691.0,0.0
Obrona narodowa,35550.0,33850.0,1700.0
Bezpieczeństwo publiczne i ochrona przeciwpożarowa,134989087.0,70894539.0,64094548.0
Wymiar sprawiedliwości,2049000.0,0.0,2049000.0
Obsługa długu publicznego,160901204.0,160901204.0,0.0
Różne rozliczenia,178463316.0,198488.0,136740207.0
Oświata i wychowanie,1767199381.0,1193625591.0,573573790.0
Ochrona zdrowia,58447556.0,42392500.0,16055056.0
Pomoc społeczna,393700451.0,200678592.0,193021859.0
Pozostałe zadania w zakresie polityki społecznej,61041688.0,30632984.0,30408704.0
Edukacyjna opieka wychowawcza,170258236.0,11070770.0,159187466.0
Rodzina,581729473.0,537888134.0,43841339.0
Gospodarka komunalna i ochrona środowiska,677448330.0,676700390.0,747940.0
Kultura i ochrona dziedzictwa narodowego,361396984.0,333462124.0,27934860.0
Ogrody botaniczne i zoologiczne oraz naturalne obszary  i obiekty chronionej przyrody,23212460.0,23212460.0,0.0
Kultura fizyczna ,131418286.0,130205494.0,1212792.0
