Nazwa,Ogółem,Gmina,Powiat
Rolnictwo i łowiectwo,79846.0,30000.0,49846.0
Transport i łączność,740883394.0,739117823.0,1765571.0
Gospodarka mieszkaniowa,464382000.0,410204000.0,54178000.0
Działalność usługowa,40458826.0,27374207.0,13084619.0
Administracja publiczna,56865485.0,37882617.0,18982868.0
Bezpieczeństwo publiczne i ochrona przeciwpożarowa,86284862.0,7330000.0,78954862.0
"Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających osobowości prawnej oraz wydatki związane z ich poborem",4088329860.0,3478518001.0,609811859.0
Różne rozliczenia,1725010209.0,862367077.0,862643132.0
Oświata i wychowanie,114079630.0,101720490.0,12359140.0
Ochrona zdrowia,1154000.0,834000.0,320000.0
Pomoc społeczna,126409911.0,66225393.0,60184518.0
Pozostałe zadania w zakresie polityki społecznej,4785120.0,202120.0,4583000.0
Edukacyjna opieka wychowawcza,3604000.0,5000.0,3599000.0
Rodzina,151424953.0,150046953.0,1378000.0
Gospodarka komunalna i ochrona środowiska,371258252.0,370658252.0,600000.0
